planner,mapName,problemIndex,numSteps,cost,timespent,success
0,map2.txt,0,12,8.856178799999999,0.1807129168882966,True
0,map2.txt,1,3,1.4642000000000008,0.0046613330487161875,True
0,map2.txt,2,10,8.347739999999998,0.004378166981041431,True
0,map2.txt,3,8,5.579294,0.004865042166784406,True
0,map2.txt,4,9,6.2956780000000006,0.009187958901748061,True
0,map2.txt,5,4,1.7912000000000003,0.004075834061950445,True
0,map2.txt,6,19,13.396422799999998,0.6379699998069555,True
0,map2.txt,7,20,16.532210000000003,0.007588875014334917,True
0,map2.txt,8,2,0.8522,0.0041982498951256275,True
0,map2.txt,9,15,12.336948,0.004332416923716664,True
0,map2.txt,10,3,1.8284999999999998,0.005215582903474569,True
0,map2.txt,11,7,4.473886,0.004422082798555493,True
0,map2.txt,12,19,13.840512799999999,0.8112433329224586,True
0,map2.txt,13,5,3.4543000000000004,0.004104624968022108,True
0,map2.txt,14,17,14.054064,0.004695166135206819,True
0,map2.txt,15,11,8.11898,0.005673708859831095,True
0,map2.txt,16,6,4.0516000000000005,0.005334750050678849,True
0,map2.txt,17,3,1.1039,0.004261875059455633,True
0,map2.txt,18,18,15.095799999999999,0.007384042022749782,True
0,map2.txt,19,18,14.785093999999999,0.007714959094300866,True
1,map2.txt,0,14,9.715424,0.012336374958977103,True
1,map2.txt,1,5,2.5045599999999997,0.004665167070925236,True
1,map2.txt,2,10,6.36886,0.003962333081290126,True
1,map2.txt,3,10,6.248265999999999,0.004447291139513254,True
1,map2.txt,4,12,7.3335740000000005,0.005682916846126318,True
1,map2.txt,5,5,1.92702,0.005021166056394577,True
1,map2.txt,6,6,3.116874,0.005379500100389123,True
1,map2.txt,7,19,14.013501999999997,0.006117874989286065,True
1,map2.txt,8,5,2.1307,0.004502875031903386,True
1,map2.txt,9,17,12.30026,0.006603458896279335,True
1,map2.txt,10,5,2.33982,0.004081457853317261,True
1,map2.txt,11,7,4.573860000000001,0.004317667102441192,True
1,map2.txt,12,9,6.314271999999999,0.004232082981616259,True
1,map2.txt,13,6,3.4543000000000004,0.003902625059708953,True
1,map2.txt,14,22,16.287726,0.0055934591218829155,True
1,map2.txt,15,15,11.514120000000002,0.004843999864533544,True
1,map2.txt,16,7,4.619441999999999,0.004927542060613632,True
1,map2.txt,17,6,3.0791,0.00393499992787838,True
1,map2.txt,18,18,14.207776,0.004953250056132674,True
1,map2.txt,19,17,13.127552,0.005666625220328569,True
2,map2.txt,0,10,6.98249,0.03011437482200563,True
2,map2.txt,1,3,1.4642000000000008,0.004253125051036477,True
2,map2.txt,2,9,6.789620000000001,0.004062958061695099,True
2,map2.txt,3,7,5.48056,0.006352083990350366,True
2,map2.txt,4,10,7.657006,0.006925083929672837,True
2,map2.txt,5,4,1.92702,0.004172999877482653,True
2,map2.txt,6,13,9.4738278,0.3032212092075497,True
2,map2.txt,7,19,14.48979932,0.010208375053480268,True
2,map2.txt,8,2,0.8522,0.004322124877944589,True
2,map2.txt,9,16,13.705117999999999,0.004629792179912329,True
2,map2.txt,10,3,1.8284999999999998,0.00427841697819531,True
2,map2.txt,11,7,5.05588,0.004144958918914199,True
2,map2.txt,12,7,4.347283999999999,0.44040137506090105,True
2,map2.txt,13,6,3.8887599999999996,0.004320959094911814,True
2,map2.txt,14,21,17.185989999999997,0.008549290942028165,True
2,map2.txt,15,10,6.69238,0.005054333014413714,True
2,map2.txt,16,8,4.919442,0.004270458128303289,True
2,map2.txt,17,4,2.3287999999999998,0.003951708087697625,True
2,map2.txt,18,16,12.473904,0.006756000220775604,True
2,map2.txt,19,17,12.367148,0.01073104189708829,True
3,map2.txt,0,8,5.076143400000001,2.6801186660304666,True
3,map2.txt,1,4,1.4643960000000007,2.6808316248934716,True
3,map2.txt,2,6,4.185765307179586,2.9415708750020713,True
3,map2.txt,3,5,3.550928,2.676866834051907,True
3,map2.txt,4,6,5.3433600000000006,2.654532792046666,True
3,map2.txt,5,4,1.7912859999999997,2.645422167144716,True
3,map2.txt,6,6,6.6049994,2.6714761659968644,True
3,map2.txt,7,8,11.641431999999998,2.668905791826546,True
3,map2.txt,8,4,0.8523799999999994,2.6508020830806345,True
3,map2.txt,9,7,10.121208000000001,2.640094625065103,True
3,map2.txt,10,4,1.8287120000000003,2.6380464581307024,True
3,map2.txt,11,5,3.641372,2.638902167091146,True
3,map2.txt,12,8,8.0074554,2.7177045419812202,True
3,map2.txt,13,4,3.4545799999999995,2.642258625011891,True
3,map2.txt,14,6,9.059595307179588,2.6799479161854833,True
3,map2.txt,15,6,4.67966,2.6358939160127193,True
3,map2.txt,16,5,3.650680000000001,2.6296631249133497,True
3,map2.txt,17,4,1.10402,2.630763167049736,True
3,map2.txt,18,8,8.607418,2.7077077499125153,True
3,map2.txt,19,8,8.517579999999999,2.7210175001528114,True
